,protein,RYGB,SHAM
778,Tmed5,"[371772.826582386 242317.51346749242 195501.47734786567 241283.51477487935
 181625.12080453933 241417.44939521686]","[189291.28045566796 183582.04851548918 345764.534851044 260965.30335590694
 189953.36594453597 254889.14413411854]"
779,Esyt1,"[64889.80162630455 37215.86073614941 30537.696835389437 41709.207208073596
 40232.56493564644 56814.99735427762]","[52814.7285044952 46467.47908098264 70822.99091772172 48402.23155496796
 47603.473876199794 40542.513347061926]"
780,Hspa8,"[4996713.672798014 5908363.502303158 7422636.060157795 6981159.688791316
 6942259.611665943 6918422.689988203]","[6737295.604140515 6678294.803342859 5691001.896028066 6562293.415676209
 7010577.02551915 6813788.138202036]"
781,Atp5b,"[38211778.57520644 39880444.79284004 30543000.20551623 30718645.773011927
 31825211.844213057 30218967.276560415]","[29799408.07339303 29132002.045093633 37786379.788628995
 30969970.753506884 25938666.685447905 28382830.47434315]"
782,Entpd5,"[502101.74593952374 394930.7322704952 191587.26142383518
 240896.19823388234 145117.47836618818 217103.70961356637]","[219532.57247300074 124595.37646028132 495470.89297270024
 312305.45717576146 244834.7701923267 248013.6309988221]"
783,Stat2,"[93701.32906270844 67735.28579250611 48460.28499973069 55647.72582444582
 63205.47322346572 49008.16077726965]","[72994.72486362212 47028.73547349244 87573.45710243599 64845.01679323693
 51092.68106271467 43555.32245660155]"
784,Ywhag,"[227486.98863868747 221581.89863932648 140140.0280750682 187833.0165507963
 169491.38723495067 47600.49121745352]","[66677.87144909808 188829.5743747907 276367.92053532304 206058.72429090488
 145853.9152945884 140037.1512687976]"
785,Rps23,"[18376.030969426876 522927.68753530394 318103.04992401204
 362309.72473929235 378029.2617751342 321308.9635874758]","[311921.9890007031 259354.52906712677 16281.345679969441
 344626.59271843755 293539.4905479908 259967.6753964793]"
786,Dstn,"[1392929.1175364547 1442485.3696932977 913327.0657783009 669960.3196485885
 935637.0584245898 1042159.7602323875]","[627079.1809575389 963230.6542455708 1300870.8864818045 1279653.216411197
 985664.3838508622 966306.627203082]"
787,Rpn1,"[2936382.0293862983 2975567.280389558 2560345.344833063 2432148.197332636
 2524439.6950586 3340950.2391692325]","[2326122.8925844273 2265136.3817181084 3290417.3554528877
 2733578.4088849835 2347776.8366129873 2342143.124278793]"
788,A1cf,"[205.36 44974.32077951246 205.36 205.36 29815.00324381306
 21920.08738168133]",[205.36 205.36 44457.20357863235 46943.165803587675 205.36 205.36]
789,Aldh7a1,"[6812835.260044778 6996940.617344058 6607373.81395888 5563936.374338877
 7057831.596066481 7478081.845520911]","[6054831.232990933 6733036.885236698 7218852.008925876 6363964.500811506
 5578617.358149067 6018612.871021905]"
790,Sucla2,"[985188.0582565847 1015037.7930630693 804708.3583750685 787242.6843102674
 950811.7027873389 797158.3427413122]","[536200.7029744198 811493.0193720966 1158069.8320677357 983248.5662632699
 718221.4067394229 689639.3638966519]"
791,Aadac,"[205.36 34803.891336060165 27976.256775976766 38511.97017607776
 37351.32657088915 39828.80420736429]","[205.36 30530.67050392543 205.36 57269.057546036944 32636.45282364787
 52926.74519172928]"
792,Gstm4,"[80799.74269640057 205.36 205.36 205.36 46417.07335254334
 39201.41113672239]",[205.36 44976.67109098742 205.36 78284.2920932923 30216.53258535239 205.36]
793,Tst,"[8354888.850012546 8882830.809331216 15372715.202485902 13969869.100299159
 15224210.136069871 13793104.575234607]","[10742320.9669946 13906802.885553254 8116610.799796633 8100232.297097482
 11751308.401134137 11861560.100136718]"
794,Umps,"[111645.85487145567 108952.30491943518 205.36 79119.28655048678
 90490.6046568081 100968.05206514135]","[205.36 86941.34667051867 138607.15870261108 93803.73001701455
 93311.75115866045 81398.11537922749]"
795,Eif3j,"[143827.1147119306 91518.80155607055 54960.80884084999 68467.09282427466
 64806.94562489227 68242.28306512794]","[106659.16822872797 57420.48221787705 160826.5601966784 67357.50051494202
 87702.1294249276 62462.148848312754]"
796,Atp1a1,"[384215.427701321 432411.8185912626 797084.7012413023 529833.2955362941
 499523.92638510774 617769.7410370369]","[379822.33764169837 494484.3402236614 412972.52559540374 466032.3483048715
 345873.0127798519 525362.8553648884]"
797,Gapdh,"[10452625.671720332 10181406.177653491 8724616.078713344 9694812.268672718
 9647042.72854936 8551434.893194808]","[9117083.06951426 9133927.351231538 7602019.772531542 11271146.326700563
 9283374.881019035 8325055.453918164]"
798,Grhpr,"[1934146.329949813 1815827.4878644925 2598901.50094573 2571405.3885730035
 2774169.9526303518 3281648.4005327844]","[2687894.8193395315 3158257.007215293 2583568.456869674 1895429.0045501313
 2905612.5415455797 2844836.091943115]"
799,Rpl3,"[434567.37285741954 289976.87824831984 248944.63748947345
 303890.2437527469 311449.89366203296 361838.73818128696]","[291486.0306759545 226059.8935357783 327930.6354030675 295038.42637984105
 104835.92426059187 283217.4905615905]"
800,Sod2,"[1469916.8466520053 1868923.4983457134 1560890.0375271258
 1113240.8078725876 1603619.973759174 1262919.5227356716]","[1413706.252249018 1127384.711124641 1828790.399893128 1854755.1981837263
 1339665.970479546 1357672.5351574863]"
801,Mtdh,"[325620.0697107579 134234.65644219486 185330.33098318192
 221256.96402622102 182164.5229378919 146859.01260182937]","[205.36 160653.76569763702 156971.76456909228 229470.50515296974
 218561.7181108766 165040.97606945116]"
802,Arpc4,"[205.36 494672.40504006523 308148.5845944437 460251.3326917559
 428081.70630062296 526577.0343380913]","[364097.3411433309 460749.41229272954 30777.01827453224 522830.8004053212
 386050.745643703 407841.1206133113]"
803,Hrsp12,"[13036555.72309021 15387447.801797057 12644933.11475665 12093191.30272689
 13875324.960380893 14175731.196121262]","[13878267.42284687 16405777.643529149 12156764.805998754
 14703258.718786106 15067989.252374733 14293978.75987762]"
804,Myl12b,"[5799.451333748872 331508.5629749574 410053.5957184929 372506.2195720879
 327201.09866334696 495845.7036397205]","[367534.3376282227 375244.05610452784 154271.1107149283 234186.7526040483
 303697.58586407657 423338.0303722964]"
805,Mecr,"[224236.91602650582 134384.3464285386 50515.63620961555 49467.86251383014
 76518.81697596838 58315.74721751958]","[111419.71723376025 71200.57483136668 258593.5650076079 83169.38499858363
 62550.50392573693 98618.98071680848]"
806,Acat1,"[4574846.081501833 4919504.302282746 6334982.252963125 5457281.218868156
 5424773.94639675 5384977.290621099]","[6839898.81812274 6684580.134140539 3844584.833965099 4376175.813957919
 7005874.28037512 6915445.252633408]"
807,Ywhaz,"[594819.0781252435 543807.808935738 358888.4299878248 443765.107160078
 333273.00503337116 470523.4745980012]","[464638.54713783023 483745.4045983386 772372.7609838845 563258.6207490006
 336275.29344475456 410148.8817431094]"
808,Txnl1,"[205.36 30870.71759846567 37834.34688116644 142277.59985242612
 151435.26499132774 112772.0694813031]","[69857.70247755494 106852.38815841441 205.36 205.36 117197.47655114949
 138426.7197480179]"
809,Suclg1,"[1179790.9962979255 1787963.510249238 2323363.6570238983
 2216844.4641710087 2300636.2532765614 1859807.7970896247]","[1664112.2983425893 1859835.5194874946 1160089.9929947052
 1515752.494840341 1738069.7168603248 1827849.5777385186]"
810,Ccdc47,"[205.36 1884.4411660857454 26595.717888776326 963.7073213054377 205.36
 205.36]",[6753.594407446616 205.36 205.36 1921.6703084609455 205.36 205.36]
811,Vtn,"[299193.00592911284 253413.3776444936 159625.709232694 170131.0550118833
 24212.658076871052 265984.515379321]","[114790.12273536643 137420.13761667482 287570.35853540665
 251326.72279322828 205.36 185540.99038507082]"
812,Gjb1,"[70192.76070027138 205.36 31815.349249355884 62247.15375293908
 66228.62189316541 31208.537275354767]","[205.36 55749.34442022514 89484.23215361236 65812.43303987806
 63466.246153072476 28839.31597956943]"
813,Aldh1l1,"[4219535.947264067 3859633.4189282707 4170514.411765077 4390273.665313684
 4868109.049659532 4323674.243904517]","[4820065.136818025 4515482.783967331 3079233.06810279 3802016.7816628674
 3715324.4968673615 4629838.136231132]"
814,Sult1a1,"[3601764.3059083032 2358438.9035617798 2110774.1312552835
 3024061.5783385774 2988572.3800158794 2462079.4809336644]","[2908844.079854658 3107150.021636298 2749856.9744406883 2479757.8227414107
 3160935.9293013946 3092813.703444264]"
815,Ndufab1,"[222676.30698715593 208210.54799949075 785418.0126281637 978840.6300464002
 997688.6267848548 913389.4793809832]","[708153.9001910643 685681.7720617463 257356.27564714433 189596.79779816684
 850843.2722623055 787761.9437197748]"
816,Sephs1,[205.36 40932.291159843415 205.36 205.36 205.36 205.36],[205.36 205.36 205.36 205.36 205.36 205.36]
817,Cnpy2,"[589896.3510849478 544297.2345295394 352033.9842399609 345159.84543851425
 275162.8265139238 326883.7440024965]","[296523.21457653516 345916.1048779669 493483.1665202839 467085.0229157925
 355565.267485497 358364.9480566367]"
818,LOC100911847,"[172407.14243344366 141183.89264977004 356720.26348805166
 401672.0329210099 499353.6870010876 380993.54359646]","[264094.47748903197 321588.6078374523 138990.63420239443
 152275.70231856182 249043.11691954464 288175.1082755505]"
819,Sardh,"[2470152.687044466 2356802.0118377176 2503155.2115856013
 2312312.3333776826 2350433.357628184 2721780.0879339734]","[2405302.803445102 2366691.409070946 1818555.1485228897 2528894.8439977425
 2095465.2012355248 2385891.848323424]"
820,Ndufs4,"[94863.47828818843 64186.3095880612 98955.16232990132 46130.246370027744
 192329.00276628524 127647.9171427258]","[97998.29563415996 142615.57214647942 112381.52242933489 187518.6693109487
 27303.062123008745 205.36]"
821,Pcyt2,"[356518.49226552574 244343.76426128318 89241.26842864204
 225214.99448796516 182666.57130203137 141737.14716163557]","[175577.66482460342 236105.41666430607 334744.61833100213
 281950.57592765125 246282.16035237018 151133.69145837004]"
822,Sgta,[205.36 205.36 205.36 205.36 37846.27759912899 205.36],[205.36 32388.333657082105 205.36 205.36 205.36 205.36]
823,Iah1,"[176128.35421995592 286429.14949261874 98805.50600219955 266271.0188513741
 244421.5586574438 214107.38834018973]","[161483.87044460763 266265.31615454704 195750.39863096806
 298979.13445251604 102744.24183653657 183063.02928321582]"
824,Atp5j,"[335353.5591523324 350730.7641827659 396150.8998672548 408090.96325871145
 483568.1384721997 376280.0018882492]","[316413.84214860597 510123.9825018521 402814.71702189284 351325.5458720602
 387111.4774933963 360265.2334860628]"
825,Contaminant,"[838011.7821428898 822616.3136513926 164610.1346245489 757738.7476214184
 977736.2967173889 595017.0048952701]","[802947.4639785619 909424.0598542988 800427.0193579422 1024902.5018388723
 993700.0348812946 1007739.9341225574]"
826,Ctsa,"[351007.6042330319 366757.0814700789 274839.6148026878 474248.55270884576
 299935.0480244039 617934.0746252461]","[331775.84529362404 282625.7107675024 438737.34820887994 310553.0495906989
 232920.0970040162 249335.1210257172]"
827,Hsd17b4,"[5079791.958632729 4393381.230267875 2350946.028164146 4646824.163648576
 4038031.948154751 5118132.320939113]","[4411036.113436882 4656188.194301863 5558764.627367627 5359406.983784331
 4895504.584039848 5184894.324940931]"
828,Slc25a3,"[822126.7543168507 1108554.2040262897 1319683.3981812338
 1340433.7457140842 1047217.908020263 1301507.943037783]","[1385528.3420909764 1154711.963129494 1464491.8787480625 1418852.210980041
 941109.0067693342 1381339.2726647756]"
829,Sirt3,"[79351.77645626031 136021.40088763967 76320.69702544004 160320.81264990816
 108587.85916955062 166815.67121355282]","[78688.69404263227 127231.3119571882 108142.56597603296 118056.64757649892
 76811.85447460218 70885.8345899569]"
830,Isoc2,"[146872.1275482086 106808.7944557988 205.36 93912.38258492594
 75969.88739417538 103298.7821113408]","[205.36 61913.31931018303 172167.70416877003 131955.33264279048 205.36
 205.36]"
831,Kpna4,"[22547.52539944821 33145.675702368004 16924.89017895937 23720.094683997562
 205.36 24560.000232470586]","[20182.881716998192 19470.02498745028 20628.302164090648
 21199.146058110055 19837.28120022788 16002.762970306561]"
832,Pfkl,"[228665.5940571531 144257.10920557755 43702.13575489124 56610.16777910152
 56142.82497873913 57669.903707428915]","[81737.24075390988 59043.755311799076 199191.69023277177
 102663.99845524447 71415.95761988302 53887.87382510798]"
833,Trap1,"[330235.66915607546 603113.5417289976 657804.350009059 596783.6288612229
 625645.0040894605 666918.812485577]","[589593.0523409502 429922.5383222797 339335.38069478923 632903.6500398172
 393241.4663803204 505302.7257048731]"
834,Vwa8,"[245108.36760824802 292000.6404486979 235408.35617756573 169970.1662651567
 147830.40161479654 242308.22371367377]","[178997.2332652906 216475.05020531028 216906.28820926862
 243293.50211474815 171282.37173050092 172963.99720125145]"
835,Ndufs3,"[1712627.9877564262 1643398.5197634734 935471.8552308719
 1345683.1237810524 1396273.9110882385 1404592.1288786638]","[1275845.290604598 1114445.4801769867 1722731.4145937178
 1356374.8697732538 1268178.6845254425 893381.7002535226]"
836,Slc25a10,"[214929.175859361 585198.9027880213 765058.9322853817 776036.0453105463
 756510.6148286028 460222.20028369146]","[581107.7449643484 809894.3929295067 695823.4250408624 710700.9617755413
 713446.5382737865 640478.4637956866]"
837,Adh1,"[13439573.589177566 28984902.67183983 32093362.223200586 41184904.33996443
 41525420.65701475 49401317.22541479]","[34659610.02528664 53223150.1432377 18405687.960945815 29269632.39760742
 48424442.287739776 43505999.59520222]"
838,Serpinf2,"[133297.42040951975 112166.26969479186 80072.69901923927
 112798.86083339028 90700.5439891255 101340.12680971716]","[72034.32065008966 101970.43090210405 82238.85169104664 60273.2278449847
 205.36 111416.67227904225]"
839,Cand1,"[1051210.97885182 680926.9492771756 617536.818187362 752765.1645043956
 715146.7589912656 845004.4031315696]","[738189.1606855285 752880.0020546815 1052806.9791626637 1024403.5957959106
 638050.754994255 694269.592177137]"
840,Pcyox1,"[112950.32605851635 142139.47724733 75140.56358704569 205.36
 80031.34437304587 29004.827855988977]","[205.36 88936.4000881229 142944.42035770626 144635.06658259023 205.36
 47477.515062457715]"
841,Sccpdh,"[386440.0112769576 219907.4910952425 310552.06041342183 250310.3286669762
 138854.9264228243 257098.40651295538]","[172850.39418138177 248697.8916856778 496944.89691265445
 374207.80966227804 281927.24474188895 166893.02558005703]"
842,Hsd17b12,"[262086.82462993477 126195.80371387083 134587.76038004583
 132230.31095944732 96321.25030263918 131089.44416104222]","[86782.6486059154 78336.08642447632 222614.96222151472 205009.22151635712
 102783.69774374594 85877.3085384602]"
843,Mpst,"[2220083.766607031 1883634.0614615213 1802971.5595335288 1653425.595327531
 1594174.621138413 1817100.0541551511]","[1913844.9848297494 1509022.9080054362 2542607.0314214625
 1495857.6067701548 1992606.8870873377 1648994.941838253]"
844,Mtch2,"[85272.16377771045 110886.16039538496 756514.0345103648 975317.9409748192
 962593.2997805857 985304.0975882651]","[718206.7043286549 920678.1919816919 75960.35451056554 97488.8678246884
 911786.2013033737 728851.9593996411]"
845,Ssbp1,[205.36 44439.079756527 205.36 19385.3806431442 205.36 34891.47736181282],[46786.89182352602 205.36 205.36 13225.49011343785 205.36 205.36]
846,Arcn1,"[19910.35000655748 139488.61585981603 68060.78088591227 122450.77460015427
 91935.97690224856 98695.73819620248]","[90072.01826983945 119905.81343879104 205.36 69812.31803747409
 111980.6833597819 79146.88429674238]"
847,Rab1A,"[750444.1039719821 610138.0606363597 704588.6637327359 681883.8901265119
 681142.5306369731 486262.3710020058]","[685314.6469221312 576265.510768919 694711.322866791 748255.3356392912
 491115.6810352324 764621.4425324315]"
848,Ndufa2,"[114462.84492000165 82388.63604885396 123008.55357314975
 112882.30796911658 146698.4627914585 97362.62072824076]","[86976.6831716618 119050.40271604541 108736.87486470367 114906.07338825078
 94700.47126839224 96270.51124182837]"
849,Ipo4,"[205.36 205.36 14286.801721454067 22026.02968953806 24217.375009256015
 31742.846207938634]","[21154.899945697023 19076.298414044708 205.36 205.36 21521.623541998644
 26161.62427314658]"
850,RGD1562402,"[205.36 459120.94039370667 237303.3187340358 198489.14618858314
 272245.0488746527 325884.8138322783]","[179475.44002435665 201544.58887237826 20741.59419526223
 397804.68750553566 186123.4894639326 210937.94632535314]"
851,Acadl,"[12588785.914581757 12257029.91915649 14790093.589977419
 11938014.603094695 10432254.362860503 10604214.047872098]","[12119082.30460606 10477924.543561246 11932968.084379196 10004062.96090884
 10070421.86192469 12873776.38309927]"
852,Cyp2c23,"[1724699.4618424627 1005717.5360341851 1170590.127755972 970869.2753998198
 1291792.328638509 1139872.950799483]","[1300669.2575107687 1198988.9436410163 1827116.895970599
 1236917.0110589513 867123.8988330001 1043353.8640923244]"
853,Aldh5a1,"[70090.32324814383 63592.97749860391 48884.77080064461 79917.5393866221
 88992.88146446209 75833.2945667926]","[50614.565533900015 50710.0517835602 69649.82217229992 58875.675231144596
 66115.38309677603 71423.02209627793]"
854,Phb2,"[4947399.026923298 5012867.471482279 3685917.0777472523 3949332.787094826
 4117537.4505838742 3806618.9344082056]","[3680152.019341924 4020496.7777400212 5011057.647779709 4833313.180904596
 3407513.628697928 3455556.5480547477]"
855,Dguok,[73855.75760165266 46659.236996913525 205.36 205.36 205.36 205.36],"[205.36 26537.446112752128 52418.43265641725 51693.00602019145 205.36
 205.36]"
856,Psmd3,"[169696.56753490408 119320.90548333639 6236.191492695065 96892.8237141198
 13277.653927201942 96775.50714730872]","[88992.23085566248 72454.2887043202 161551.42373087024 126635.336204016
 78127.93392971967 78757.61572435159]"
857,Cyp2c7,"[1536700.5608670122 1570060.4686489475 2655236.1499886285
 3158725.490153559 3413132.0218508816 2821316.730695398]","[2232612.0313297296 2257525.6275461772 2068518.3208033754
 1607546.9649857783 2187310.8795279968 3294824.3237484726]"
858,Prdx4,"[668747.0081360613 680799.4347232763 570496.3415518289 724453.8597771254
 229031.58784325968 647070.187265269]","[570884.6269351778 826019.4048043526 442782.0557747932 936201.653934652
 779756.5918416609 453859.56735178945]"
859,Blvra,"[364179.62165883894 305759.22795327805 282778.22918662144
 225397.43651987863 341754.05399787374 434847.03032292594]","[283019.988769839 309123.0880506955 378629.0610127722 237305.3194531742
 327234.4404194862 280702.3370772253]"
860,Ctnnd1,"[113090.37863019676 122444.11967979421 44364.197266202515
 101084.91047378839 68393.55050186017 14725.818120148966]","[205.36 44231.80649403477 136378.5434292065 81590.65454206923 205.36
 85856.03640023351]"
861,Acad9,"[747738.425978508 608236.471075483 294870.41065532644 367323.30554634286
 241267.55294359638 461121.85866879625]","[401323.56698714814 417687.99604840024 550036.5159118848 551035.4130148884
 321581.4035419788 328517.3895765213]"
862,Ap1b1,"[234550.6330251722 234151.9216032784 74106.8392421492 66120.21568965858
 176858.19163399676 123579.6779430347]","[80925.86612401293 57925.20903499954 267217.38068196824 155119.93206382854
 205.36 111728.60462117245]"
863,Sri,"[94974.86830261078 104588.18004270931 42848.388495019535
 34622.486717403845 56018.64566504318 50735.875305089256]","[56671.375819474335 38430.22024829205 98297.00723509863 73109.30197156411
 33722.97372575037 33873.22220601617]"
864,Thnsl2,"[184060.28843980542 117268.35189381657 61736.06122634886
 64263.547955667105 60509.296448205125 72901.47537609145]","[82825.7434512301 62323.04078678228 166204.9845615353 143838.41711907322
 69027.99011841432 88413.93237823466]"
865,Uqcrb,"[37564.298467225475 69593.70554400343 82531.7250401347 202355.773349977
 124686.01348162648 182752.86185490107]","[30073.98050079863 315573.07424857724 56230.503945653865 43229.95811203354
 92719.46740587323 224440.71583516372]"
866,Txnrd1,"[236971.70716441466 360760.91185843083 91929.2848336749 238178.82018866856
 226098.46450972627 216400.03176499304]","[129536.1133507399 175895.19284736 72633.03646178353 266621.79774882185
 109748.97380663727 368502.939020427]"
867,Hdhd3,"[1105278.9266108505 1138659.4184094563 480966.2618976616 842611.7398323823
 750697.4202088321 1189954.0502450366]","[746996.0325847529 798184.1292019235 1146871.5860095264 839338.7882902113
 683823.2593399904 773171.6084039223]"
868,Ugp2,"[1216593.5711104218 1749455.7079879898 1894067.496046443
 1502432.8958875497 1402933.4760358287 2378394.1107629803]","[1426326.1533959892 1841200.7981424779 1065639.2631913046
 1065660.3130974614 1490755.9041077597 1583084.6925246757]"
869,Atl3,"[580955.9992805739 449621.2381019103 203428.94268768525 276325.1649658656
 231405.369215549 221047.10418966858]","[262873.6499090237 262100.95366812163 675606.0143535928 592452.8711020427
 249672.04591471684 268439.65607175493]"
870,Ndrg2,"[954083.4689724672 1037200.6428561076 469209.4242336567 438737.67646741733
 412433.26368776715 475503.41560109623]","[757953.9210006751 610348.9612497877 1541082.4071230234 1119478.574721651
 679661.8725409836 731839.6476284012]"
871,Cars,"[41967.356663897095 29064.491264630313 205.36 76020.07873777546
 38527.84354091463 28216.12725552638]","[29427.942627245335 78892.12658929685 168440.15640305122
 20921.827633336765 205.36 66002.30694422837]"
872,Spcs3,"[83407.63192155413 38481.90204389199 205.36 62559.38406162875
 51344.51558979789 81505.09370953974]","[64484.86099814254 72538.14991813154 106544.0071360643 89135.27981627404
 205.36 61410.42423873143]"
873,Parp3,"[57707.234648596466 42664.72592123853 205.36 205.36 205.36
 77684.49975929483]","[205.36 205.36 75382.40180480246 42161.51612292962 205.36
 50574.04965464906]"
874,Ogn,"[69844.24781257682 75221.06159367794 43769.670566521636 31840.80555132455
 205.36 53818.296609644116]","[205.36 35434.104718786635 109530.52822300966 48737.454335240865 205.36
 32158.367738788394]"
875,Alad,"[1250439.0697658209 1668713.7204438385 1140538.0971999126
 1154419.3130891402 1092659.5717629818 1488004.405137887]","[1279602.0100702497 1304142.860603368 1285245.2775049696 967133.385184732
 1090669.0061201947 1232949.890387655]"
876,Actr1b,"[116483.92657707613 90082.17167802042 66178.6744327536 106560.60984891426
 98151.3195181634 95952.7923348736]","[54813.965091214486 87881.55810719263 157697.38006799642 99137.50648605358
 119558.05969551056 55413.23186716585]"
877,Eif3i,"[51894.73334975669 36299.528190837475 205.36 6641.359920659883
 18973.260955185713 19685.487661820454]","[7348.472094940535 21856.11508167959 50544.72731306016 25538.21086792687
 91769.39015093353 205.36]"
878,Gldc,"[329612.18301083427 224294.22368596966 170905.62899290264
 137311.59675181075 167543.3730924351 117096.60946107727]","[196378.25985055667 141455.79564928034 359381.6958241589
 199215.46509898282 161447.84511572274 125345.19375589635]"
879,Rps7,"[2239480.62721266 1918149.8885743676 1018026.8704477791 1450476.4502217858
 1138412.4598888892 1502444.643507556]","[1243054.8328199964 1171780.849095648 2515819.729123949 1219165.2369254099
 1158962.1648723145 1059349.4795406144]"
880,Atp5d,"[635703.2836221941 716439.3195885352 467082.5523661317 1166117.0674911619
 726699.0849854889 655122.68599141]","[594308.0906267901 1288899.243281558 585206.4303585434 734235.6837653492
 523634.45654960256 983246.5627329991]"
881,Ddx39b,"[295598.9233236599 254095.53416473957 310592.4981139184 390170.62577001407
 322249.3627509295 351149.92673204246]","[376087.5246700368 283489.9982309001 205.36 120840.40710765807
 325199.79282046045 310441.0165828529]"
882,Eif3f,"[176643.8096268467 148300.8249488685 88107.87356789794 101612.4130808344
 135710.9495586724 156878.59643261344]","[80601.3079762734 168495.5068213661 140789.13263811733 132010.81112967365
 67539.39464755126 130944.88965374151]"
883,Itgb3,[205.36 205.36 205.36 30650.148792926782 205.36 41553.85745360785],"[29639.785168384904 28224.18819762469 205.36 205.36 29853.32037122401
 31973.264490565656]"
884,Ap2b1,"[417416.2596332718 234023.34079066326 160139.06966309462
 241593.08942884256 93025.27073065165 282216.7451126983]","[282304.7349600674 201386.29627596802 367982.96451287286 269939.9284111381
 182573.97416133477 223337.2662945537]"
885,Ahsa1,"[205.36 24279.701035708415 29888.63333384133 101097.73218270073
 70635.47721146265 69139.96977346687]","[205.36 68667.38071237622 130054.42947452578 25299.818230926576 205.36
 205.36]"
886,Car14,"[115328.50356572363 205.36 90544.49827554983 94292.09617571736 205.36
 106869.73571140133]","[108387.99507595 82737.64075140932 136184.4151194528 205.36 205.36
 49402.11507519623]"
887,Nono,"[205.36 34661.81461698652 34441.84536142309 10040.271970898397 205.36
 17333.507290921672]","[24659.87430142781 49977.55277685921 42233.28796185136 28264.223663757406
 19043.61888199938 15566.508326564674]"
888,Calu,"[517597.18358860374 295303.7438097405 319539.2914767984 302131.8691391184
 292070.4874590786 176383.9842908249]","[325592.9634296799 268716.8387688064 515166.1299994835 406996.50664231274
 248182.90345120998 261862.6537712218]"
889,Stard10,"[3569330.051508848 2539361.133104292 1814365.165463279 1563064.6667113127
 1656835.3292665842 1408443.8015490482]","[1802672.4399077476 1457810.4711141898 2949915.8086229144
 3037195.3374848533 1652284.9614275575 1562015.9978232295]"
890,Pnpo,"[205.36 205.36 78053.00729930503 104693.9823740749 89289.10821628032
 116046.47904605149]","[100647.23508072413 98350.20799280528 205.36 21223.339000230288
 95614.06150189352 89757.31989658733]"
891,Gbe1,"[73846.41709703427 228747.50059268484 422866.41159603285 492136.3436276456
 520944.2378385161 399289.5221994352]","[454761.639985659 639599.6029164225 114432.79450951617 91129.6584143729
 438014.5253315888 636090.8870469405]"
892,Snrpa1,"[38061.907667071886 41969.84882787215 205.36 24451.078391609444
 33030.020587619896 44277.29387346209]","[13946.990639271573 43820.75179542472 205.36 25859.93259438285
 30830.82071592176 20894.446610046143]"
893,Psma4,"[152866.8711007616 110420.62677968628 70301.00736741837 184111.25972939993
 65696.00902484902 114671.379631113]","[75584.77319869296 191645.60549681075 99619.25762934907 25391.720146726424
 202774.71028702098 114610.80661621752]"
894,Calm1,"[213482.6929458977 738075.8521585229 1972848.0609154284 2051511.6614204557
 2127879.45523608 2298872.7357276543]","[1933993.1781743476 1961837.4614341347 672901.5930734567 683161.3507163553
 2093104.5324345122 1686854.5096558153]"
895,Acp1,"[102694.54882608238 277795.0098395618 148306.48244807468
 288735.22062520287 200303.54608543165 271110.9099179422]","[196280.21841775774 219799.07776661738 90740.19969734063
 125252.71540978436 222882.96975149185 286845.18519892567]"
896,Ambp,"[310676.1892232112 199734.67687179707 95545.81791415368 121563.7381093812
 29290.596838532896 139290.4117465582]","[114625.35281231618 138688.09950756477 232228.21417194177
 175113.2641727111 131404.76952947967 82700.49893929993]"
897,Parva,"[84571.15716611949 86673.96375958413 205.36 29931.646804589665 205.36
 205.36]",[205.36 205.36 122036.0371592574 78211.71588487129 205.36 205.36]
898,Aldh1a7,"[894371.56996689 652070.206044232 555704.403347334 521254.4289038029
 541464.3386958245 399882.0566946601]","[814891.7357385014 730982.425561973 712231.5340796226 680591.8785346897
 504203.3437911605 556291.1997342207]"
899,Acsl4,"[205.36 205.36 13051.034252038677 23511.275081813907 23741.83035241241
 16288.83987845404]","[10806.039770619805 15759.799295215018 205.36 205.36 12933.082438081921
 205.36]"
900,Rpl32,"[205.36 216524.76715406237 411083.1686758703 389795.5264864795
 247665.54672569144 352857.4875896639]","[328601.0252558653 258131.62218846555 205.36 301712.98512445414
 286017.0993028103 293474.4048370369]"
901,Mal2,"[301198.20527380606 265395.18937345734 239284.85185110875
 256549.4599953924 244593.9380355667 278369.49400535587]","[282047.6779064556 192088.36327065004 262440.59901844733 253835.0832463592
 230849.82508532493 297965.29710198997]"
902,Aimp2,"[121358.44668611932 91138.74668803961 58463.678084751366 59693.54409628185
 205.36 78348.79008273063]","[70964.37858541652 59675.206376848735 129811.00929150474 89151.49355624907
 68555.2558795759 56469.19460284998]"
903,Anxa5,"[374561.8611528819 439799.6149907493 413681.14550579357 483329.38786917325
 284586.1595933267 472899.25718388153]","[488672.2685949783 495675.1535376764 445154.1121191589 392140.4011396063
 325556.09344236075 242081.1372331498]"
904,Tmem205,"[445518.99274790287 232761.21748404077 122789.02651101066
 143621.95328124473 114088.6394393001 145709.6362470043]","[190711.85014209207 124774.67303909041 425206.3101630177
 374601.05429167853 94664.78801901675 172638.63665980787]"
905,Aldh1l2,"[1642074.574181491 2380644.03918333 3008371.399653173 2293381.6629918506
 1917626.2739089706 3514330.021691414]","[2054736.7547441814 2790469.1037737424 1700935.0138506193
 2689719.773648287 2371994.76330222 2425630.4233861784]"
906,Atic,"[82541.92229536566 106951.80499491483 169003.0228740893 220054.2137717507
 134592.42913720713 248996.02596487268]","[244440.71885956393 149510.72714021866 256141.59754523655
 195072.04776771236 212594.39253662122 217465.01207817966]"
