,protein,RYGB,SHAM
47,Dhrs1,"[38660.46954577375 181327.63927401925 104536.97241469014
 121390.60871580204 205.36 316485.2188681334]","[450621.2167736304 289871.7446423641 297957.9105298916 333121.9363466942
 154669.4570717884 92130.07824652616]"
48,Erp29,"[381349.40019307996 314174.57496686635 446299.46659477515
 494870.9714425994 538835.629882398 570564.0833126317]","[296702.5597965019 408820.01687391434 340066.0145409139 251662.38035640813
 454249.3703025416 370836.924875059]"
49,Dhrs4,"[1224484.9980776047 852420.5173510333 375341.76032052696
 349037.52519593394 297617.48804792576 419579.3422216318]","[539054.336620622 577189.4043276084 1378046.8290924295 1070771.5223448817
 410864.60786009155 647432.9211523978]"
50,Tceb2,[205.36 205.36 205.36 205.36 205.36 33336.87307006955],[205.36 27107.521725985684 205.36 205.36 27570.3745253061 205.36]
51,Actn1,"[9795.59127483657 11639.167473087897 205.36 205.36 205.36
 56771.26981319979]","[2989.6424783264624 33719.78045973323 205.36 205.36 205.36
 29901.67297719492]"
52,Gpd1,"[7120961.903841234 5177521.1611733 2482622.8104964816 2718150.0884729065
 2352032.314628933 2499012.257383443]","[3731934.2665784713 3920312.4906416456 6384763.620848113 5825788.720730166
 3988158.836779412 3826309.138462579]"
53,Txnrd2,"[168645.23117594354 112097.48337708849 58408.34869275124 186827.4432935412
 149718.3851988694 144207.47848374175]","[127020.75307277177 138163.8940799508 206830.3480325301 158469.4678989409
 104368.0156279955 95321.71491333519]"
54,Scarb2,"[205.36 205.36 46247.595596420026 205.36 71811.06501879917
 68184.93146379509]","[205.36 33750.6228161736 205.36 205.36 23776.794477194566
 54301.41196714274]"
55,Ddx3x,"[825459.2249253647 673363.9931167142 422476.9827001215 433832.78617854335
 402204.1183076972 586111.496076724]","[383514.15410754917 462643.6949244452 839529.9635720492 694233.7738404381
 514512.3960446835 425106.8437076844]"
56,Tmem86b,"[208593.71946276483 118551.19580185747 205.36 205.36 56533.30219737978
 115099.40778101173]","[20516.592863218804 36281.41932258459 216183.33800502983
 127152.80713319356 63419.609328802995 82626.72202185055]"
57,Gamt,"[1426597.9229955552 968790.0192454924 699857.667151591 451792.59379320015
 453277.08767508727 664672.4207414328]","[1085358.6780514314 742642.6799207681 1397823.5917390862 1055909.068548662
 856224.9986648007 874504.3930106587]"
58,Fgg,"[351795.9728029202 272656.61691069824 223010.23875516458 365111.6978233209
 188663.71333077355 409310.35174169816]","[127306.08750237078 156475.93934633196 293030.897505855 291545.6641019123
 299574.3930856242 97278.81048659461]"
59,Ube2n,[205.36 205.36 205.36 205.36 499447.33724864945 205.36],"[205.36 205.36 205.36 522192.4781608383 596095.3560873125
 14863.710315340946]"
60,Tpp1,"[126457.08005472193 129790.08206569687 205.36 251604.09547037486
 188083.60859772924 183517.90022007123]","[9843.339435951273 94577.23096960007 85805.16084369337 93707.38548122693
 65295.719261725004 125685.03641700881]"
61,Col6a1,"[205.36 23630.770546835905 205.36 11703.089168909351 205.36
 9332.896697445622]","[205.36 13498.385981591027 18056.397170436052 13892.473505658621 205.36
 205.36]"
62,Msn,"[648107.589612959 551810.9564300583 515414.6196614407 400144.31203319755
 334258.78522491053 446241.4289671292]","[382361.0290122446 346319.74071789486 555751.8601885125 597844.5855592806
 283602.3867760246 193385.05821042397]"
63,Fis1,"[590743.4434644372 387078.658530472 227512.51442921584 250209.6325907912
 275161.616585311 277846.18867399375]","[419990.02084114664 292648.6907716509 627643.6193055091 346533.0523373957
 348938.08331927616 234669.7880410393]"
64,Mbl2,"[205.36 205.36 81733.72176330825 38063.05279416588 205.36
 44759.30083185158]",[74714.02755693618 83076.89945971327 205.36 205.36 205.36 79078.5792683568]
65,Hba-a1,"[6405.280511225388 127520.58557261746 63919.54182424277 103986.8487061984
 134674.34522318377 222606.65688569113]","[154411.9613013923 170698.1183438115 205.36 124657.6912417705
 332070.64781599434 244896.86175462967]"
66,Tpp2,"[73534.854632376 50761.60513711595 38054.58685273086 66544.83822648616
 49978.66758783346 59875.68708098851]","[77759.20625386182 43674.74168144236 78482.91909892653 64019.35240150793
 50155.6743998121 66044.6304001807]"
67,Cat,"[10955485.352937624 9730762.170455942 12612304.444003463 12917717.5383068
 13417496.4078044 15796336.897754068]","[18360488.806028944 22045896.672317 13872463.738037154 15587505.04131549
 23990064.511440452 21035398.159670625]"
68,Cps1,"[151109179.87125272 133908399.94967939 157724106.4778173
 123209081.70880345 167424302.2011663 120771373.05621082]","[125699557.12717327 107954521.30986567 124385336.20307629
 124185676.41104911 106803858.4115799 76938672.30860984]"
69,Acy3,"[340835.2261438819 186922.93755140924 195427.18716186637 256754.24230144
 104217.13876077342 407851.0787553536]","[562656.2637217083 290515.7170129445 627976.9798482584 519948.24197302276
 417592.6821255871 239766.03296192974]"
70,Gstt3,"[249129.5817133752 382059.739564618 256957.34262825325 140787.20723913758
 185489.92213660915 277756.59607147914]","[205.36 96807.66663700851 214505.46904215968 244996.7799484708
 66526.46653840283 139170.46168938273]"
71,Rpl23,"[452521.4448303344 479578.5965185608 482905.48261922813 524118.5851312922
 431699.25898981094 525789.2091043274]","[407305.8823168277 299468.240103935 271786.52455101284 443023.4475697649
 333719.8296751263 430293.51995744056]"
72,Ctsc,"[678296.3085684081 754638.0557879736 560207.2231015511 629961.5427866692
 519572.61365060613 661083.0805181896]","[325228.87589531136 372564.4190506119 388784.87142038427 653972.7767102884
 435782.817200504 531539.0780396569]"
73,Idh2,"[1068478.341096984 1121175.1440533905 1199591.0456622136
 1038776.9594173076 951010.1085189906 1183329.304263748]","[1029611.9049721847 890216.8649570908 1030576.6970698474
 1029678.7880888492 826622.2902624845 868403.2724495475]"
74,Enpp3,[205.36 205.36 205.36 7231.317312337317 205.36 205.36],"[4188.133463643338 16357.82301052939 10090.68787070889 14225.481108389557
 205.36 18735.535156942253]"
75,Comtd1,"[79438.47166917643 161527.83286208397 106526.37316925424
 188417.43067832247 117750.20667717673 186119.56769706585]","[122302.06485006052 205.36 99455.12324743962 116635.6665522068
 80797.20932314036 48776.32879856701]"
