Source	Interaction	Arrow	Arrow_Type	Dashes	Color	Target
hsa:4217	phosphorylation	True	circle	True	black	hsa:5606
C00280	reaction	True	arrow	False	blue	hsa:1588
hsa:10720	reaction	True	arrow	False	blue	C11132
hsa:598	activation	True	arrow	False	black	hsa:664
hsa:5530	inhibition	True	circle	False	black	hsa:775
C05498	reaction	True	arrow	False	blue	hsa:1586
hsa:2717	reaction	True	arrow	False	blue	G00093
hsa:1586	reaction	True	arrow	False	blue	C00410
hsa:5290	compound	True	arrow	False	blue	hsa:2475
C15808	reaction	True	arrow	False	blue	hsa:50814
hsa:3678	activation	True	arrow	False	black	hsa:3611
hsa:2778	activation	True	arrow	False	black	hsa:111
C00052	reaction	True	arrow	False	blue	hsa:2683
hsa:7015	binding/association	False	NA	False	black	hsa:6932
hsa:5578	activation	True	arrow	False	black	hsa:3265
C05270	reaction	True	arrow	False	blue	hsa:10449
C15777	reaction	True	arrow	False	blue	hsa:6309
C00780	reaction	True	arrow	False	blue	hsa:4128
hsa:406971	inhibition	True	circle	False	black	hsa:5894
hsa:8743	binding/association	False	NA	False	black	hsa:8795
hsa:6585	activation	True	arrow	False	black	hsa:6092
C00101	reaction	True	arrow	False	blue	hsa:2618
hsa:9252	expression	True	arrow	False	black	hsa:4609
C00136	reaction	True	arrow	False	blue	hsa:38
C00388	reaction	True	arrow	False	blue	hsa:3176
hsa:1807	reaction	True	arrow	False	blue	C21029
hsa:51094	activation	True	arrow	False	black	hsa:26060
hsa:83547	binding/association	False	NA	False	black	hsa:1778
hsa:1017	inhibition	True	circle	False	black	hsa:100132074
hsa:64850	reaction	True	arrow	False	blue	C00084
C01233	reaction	True	arrow	False	blue	hsa:255043
hsa:23262	reaction	True	arrow	False	blue	C11526
hsa:6370	activation	True	arrow	False	black	hsa:51554
C00037	reaction	True	arrow	False	blue	hsa:23464
hsa:10488	expression	True	arrow	False	black	hsa:4852
hsa:960	binding/association	False	NA	False	black	hsa:8826
hsa:4790	expression	True	arrow	False	black	hsa:30009
hsa:3684	activation	True	arrow	False	black	hsa:5743
C00025	reaction	True	arrow	False	blue	hsa:8659
hsa:8874	inhibition	True	circle	False	black	hsa:23365
C05759	reaction	True	arrow	False	blue	hsa:2194
hsa:7186	binding/association	False	NA	False	black	hsa:2534
hsa:8707	reaction	True	arrow	False	blue	G00037
C01185	reaction	True	arrow	False	blue	hsa:23475
hsa:5594	activation	True	arrow	False	black	hsa:7157
G13026	reaction	True	arrow	False	blue	hsa:146664
hsa:7157	repression	True	circle	False	black	hsa:23657
hsa:406937	inhibition	True	circle	False	black	hsa:3667
G00021	reaction	True	arrow	False	blue	hsa:25834
hsa:960	binding/association	False	NA	False	black	hsa:117581
hsa:3661	activation	True	arrow	False	black	hsa:3439
hsa:7874	activation	True	arrow	False	black	hsa:7157
hsa:23498	reaction	True	arrow	False	blue	C04409
hsa:3265	activation	True	arrow	False	black	hsa:8315
hsa:117581	expression	True	arrow	False	black	hsa:406902
hsa:29108	binding/association	False	NA	False	black	hsa:834
hsa:4217	activation	True	arrow	False	black	hsa:1432
hsa:9489	reaction	True	arrow	False	blue	C00269
hsa:2770	activation	True	arrow	False	black	hsa:1432
hsa:4790	expression	True	arrow	False	black	hsa:7056
hsa:124975	reaction	True	arrow	False	blue	C01419
C01042	reaction	True	arrow	False	blue	hsa:2346
hsa:6647	inhibition	True	circle	False	black	hsa:596
hsa:4023	reaction	True	arrow	False	blue	C00162
hsa:4967	reaction	True	arrow	False	blue	C00068
hsa:4548	reaction	True	arrow	False	blue	C00073
C05130	reaction	True	arrow	False	blue	hsa:217
hsa:23365	activation	True	arrow	False	black	hsa:387
hsa:4534	reaction	True	arrow	False	blue	C11556
hsa:4296	binding/association	False	NA	False	black	hsa:23162
hsa:1645	reaction	True	arrow	False	blue	C19574
hsa:1487	inhibition	True	circle	False	black	hsa:51176
C05263	reaction	True	arrow	False	blue	hsa:1962
hsa:1576	reaction	True	arrow	False	blue	C07643
hsa:7157	missing interaction	True	arrow	True	black	hsa:5728
hsa:3439	activation	True	arrow	False	black	hsa:3454
hsa:1629	reaction	True	arrow	False	blue	C15980
hsa:9459	activation	True	arrow	False	black	hsa:5879
C05580	reaction	True	arrow	False	blue	hsa:218
hsa:6662	expression	True	arrow	False	black	hsa:268
hsa:6772	inhibition	True	circle	False	black	hsa:7186
hsa:1981	binding/association	False	NA	False	black	hsa:1973
hsa:38	reaction	True	arrow	False	blue	C00024
hsa:5335	activation	True	arrow	False	black	hsa:5578
hsa:84892	reaction	True	arrow	False	blue	G13087
C00455	reaction	True	arrow	False	blue	hsa:10135
C16682	reaction	True	arrow	False	blue	hsa:145226
hsa:4790	expression	True	arrow	False	black	hsa:2152
hsa:4040	activation	True	arrow	False	black	hsa:1855
C05589	reaction	True	arrow	False	blue	hsa:1312
hsa:5566	activation	True	arrow	False	black	hsa:359
hsa:3931	reaction	True	arrow	False	blue	C04230
